Rk,Squad,Comp,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA
1, vs Angers,fr Ligue 1,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,25,Na,Na,Na,Na,Na
2, vs Arsenal,eng Premier League,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,25,Na,Na,Na,Na,Na
3, vs Aston Villa,eng Premier League,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,53,Na,Na,Na,Na,Na
4, vs Atalanta,it Serie A,33,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,33,Na,Na,Na,Na,Na
5, vs Athletic Club,es La Liga,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,30,Na,Na,Na,Na,Na
6, vs Atlético Madrid,es La Liga,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,12,Na,Na,Na,Na,Na
7, vs Augsburg,de Bundesliga,27,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,38,Na,Na,Na,Na,Na
8, vs Barcelona,es La Liga,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,21,Na,Na,Na,Na,Na
9, vs Bastia,fr Ligue 1,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,27,Na,Na,Na,Na,Na
10, vs Bayern Munich,de Bundesliga,25,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,13,Na,Na,Na,Na,Na
11, vs Betis,es La Liga,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,40,Na,Na,Na,Na,Na
12, vs Bologna,it Serie A,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,28,Na,Na,Na,Na,Na
13, vs Bordeaux,fr Ligue 1,35,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,34,Na,Na,Na,Na,Na
14, vs Bournemouth,eng Premier League,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,47,Na,Na,Na,Na,Na
15, vs Caen,fr Ligue 1,24,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,36,Na,Na,Na,Na,Na
16, vs Carpi,it Serie A,35,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,32,Na,Na,Na,Na,Na
